2024-08-14 16:29:32 | main_v1.py | <module> | 15 | ERROR - llllll
2024-08-14 16:36:18 | /home/hezp1/AI/app_weichat/utils/log_handle.py | server_log | 35 | INFO - 从Redis中获取到的所有键
2024-08-14 16:36:18 | main_v1.py | <module> | 16 | INFO - lalal
2024-08-14 16:36:28 | /home/hezp1/AI/app_weichat/utils/log_handle.py | server_log | 35 | INFO - 从Redis中获取到的所有键
2024-08-14 16:36:28 | main_v1.py | <module> | 16 | DEBUG - lalal
2024-08-14 17:12:25 | /home/hezp1/AI/app_weichat/utils/log_handle.py | server_log | 36 | INFO - 从Redis中获取到的所有键
2024-08-14 17:12:27 | /home/hezp1/AI/app_weichat/utils/log_handle.py | server_log | 36 | INFO - 从Redis中获取到的所有键
2024-08-14 17:12:27 | /home/hezp1/AI/app_weichat/utils/log_handle.py | server_log | 36 | INFO - 从Redis中获取到的所有键
2024-08-14 17:12:27 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:27 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:28 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:28 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:29 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:29 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:30 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:30 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:31 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:31 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:32 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:32 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:33 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:33 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:34 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:34 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:35 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:35 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:36 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:36 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:37 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:37 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
2024-08-14 17:12:38 | main_v1.py | <module> | 21 | DEBUG - 从Redis中获取到的所有键: [b'waitt_10039094', b'waitt_10037288', b'waitt_10039092', b'waitt_10039093', b'waitt_10038560']
